2 users,4 users,6 users
122.961,115.394,124.2
116.052,122.035,114.254
115.181,103.115,90.3897
123.123,122.845,95.8005
126.608,96.472,89.8016
117.106,123.134,96.4412
114.676,125.073,121.446
119.61,120.009,99.5799
105.383,115.381,127.611
110.285,106.282,125.298
122.647,114.523,108.359
114.715,89.1175,82.9913
127.262,113.818,129.208
118.788,118.743,130.073
113.782,131.917,115.228
123.496,110.449,87.6558
122.956,131.662,87.5822
129.917,118.712,120.668
114.081,121.161,119.591
124.393,122.014,123.238
124.949,125.379,107.364
117.861,112.136,131.623
129.013,108.429,112.619
124.232,116.796,87.6952
117.563,133.915,109.846
106.088,101.66,129.853
125.377,104.95,110.321
105.418,121.135,120.34
125.786,98.1502,119.868
118.344,89.8259,121.488
128.957,116.16,80.8052
116.383,112.296,126.882
122.836,108.001,118.948
103.036,111.161,123.584
131.666,124.524,132.178
104.44,120.31,114.303
132.63,124.316,108.112
126.264,127.496,119.006
111.623,108.73,109.066
106.783,130.539,126.24
117.225,99.2404,101.137
121.994,124.188,95.2017
123.566,117.771,115.815
87.7292,116.51,114.613
122.427,132.116,130.52
114.124,96.0141,93.3778
130.922,118.275,112.196
133.655,102.182,128.574
118.029,124.172,121.307
131.277,98.54,104.239
130.111,85.0436,115.527
127.204,118.153,123.248
119.55,107.261,123.486
97.4692,126.826,113.997
118.49,124.907,106.435
118.173,125.495,125.873
82.0768,127.091,132.354
128.367,115.465,130.379
120.268,125.444,125.13
122.226,123.676,107.168
114.595,121.44,105.29
128.85,115.931,127.669
128.554,76.7566,114.018
121.844,111.059,119.614
98.0319,122.463,127.22
133.608,125.917,123.653
121.817,104.46,130.116
131.471,119.263,126.227
130.03,121.558,118.57
127.334,125.15,106.629
111.303,118.956,124.502
115.55,118.558,123.288
119.458,123.918,94.5041
131.165,122.12,132.635
120.544,94.5993,123.646
115.343,117.829,118.562
122.146,123.212,129.387
132.957,130.721,104.61
98.1385,116.796,87.765
130.647,121.023,101.537
109.882,127.502,121.818
116.221,104.01,126.278
123.334,118.892,116.92
117.561,124.746,106.427
116.783,135.211,110.653
113.12,120.948,86.7839
130.84,110.335,116.612
105.79,123.228,108.998
113.868,115.633,106.985
129.744,128.985,123.124
95.1348,108.697,116.637
121.064,100.467,131.903
122.699,122.997,122.349
125.149,122.545,131.531
112.187,121.412,131.581
119.45,75.8178,124.843
124.651,128.29,120.916
126.824,132.77,115.358
129.011,123.407,99.4657
127.638,115.394,113.729
119.414914,116.191524,114.924888
