data rate,algo2,ref1,,,EE,algo2,ref1,,,,,,,,
2,83.82128968,,,,2,2099.9245437,,,,,,,,,
4,109.3548169,,,,4,2731.82432,,,,,,,,0.9988247984,1.0002
6,121.2198405803,,,,6,3028.8522171086,,,,,,,,0.9639254231,1.1146
8,124.0234333199,,,,8,3099.9914827899,,,,,,,,0.9158152224,2.0916458229
10,125.6645301761,,,,10,3141.9201629225,,,,,,,,0.9152491183,3.4308065005
12,126.5295899595,,,,12,3165.0595718624,,,,,,,,0.9145265976,4.8001416717
,,,,,,,,,,,,,,0.9148825654,6.2565789474
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
satisfaction,algo2,ref1,,,fairness,algo2,ref1,,,,,,,,
2,0.9969361697,,,,2,0.9988247984,,,,,,,,,
4,0.9386518243,,,,4,0.9639254231,,,,,,,,,
6,0.7715477524,,,,6,0.9158152224,,,,,,,,,
8,0.6364920952,,,,8,0.9152491183,,,,,,,,,
10,0.5479406074,,,,10,0.9145265976,,,,,,,,,
12,0.4807306914,,,,12,0.9148825654,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
satisfied user,algo2,ref1,,,iteration count,algo2,ref1,,,,,,,,
2,1.9935,,,,2,1.0002,,,,,,,,,
4,3.7693,,,,4,1.1146,,,,,,,,,
6,4.7589794897,,,,6,2.0916458229,,,,,,,,,
8,5.4105178157,,,,8,3.4308065005,,,,,,,,,
10,6.0261080753,,,,10,4.8001416717,,,,,,,,,
12,6.5591093117,,,,12,6.2565789474,,,,,,,,,
